Timestamp,kW orig,hour,yyyymm,kW
2024-08-15 01:00:00,1.3329,1,2024-08,1.3329
2024-08-15 02:00:00,1.3208,2,2024-08,1.3208
2024-08-15 03:00:00,1.1531,3,2024-08,1.1531
2024-08-15 04:00:00,1.8138,4,2024-08,1.8138
2024-08-15 05:00:00,2.1823,5,2024-08,2.1823
2024-08-15 06:00:00,2.5967,6,2024-08,2.5967
2024-08-15 07:00:00,2.4427,7,2024-08,2.4427
2024-08-15 08:00:00,2.3605,8,2024-08,2.3605
2024-08-15 09:00:00,2.4668,9,2024-08,2.4668
2024-08-15 10:00:00,3.5304,10,2024-08,3.5304
2024-08-15 11:00:00,2.1069,11,2024-08,2.1069
2024-08-15 12:00:00,3.1608,12,2024-08,8.8953
2024-08-15 13:00:00,2.4085,13,2024-08,4.8576
2024-08-15 14:00:00,2.1822,14,2024-08,0.3927
2024-08-15 15:00:00,1.8769,15,2024-08,0.397
2024-08-15 16:00:00,1.1371,16,2024-08,1.1371
2024-08-15 17:00:00,1.0461,17,2024-08,1.0461
2024-08-15 18:00:00,0.7992,18,2024-08,0.7992
2024-08-15 19:00:00,1.0933,19,2024-08,1.0933
2024-08-15 20:00:00,0.6497,20,2024-08,0.6497
2024-08-15 21:00:00,0.6093,21,2024-08,0.6093
2024-08-15 22:00:00,0.512,22,2024-08,0.512
2024-08-15 23:00:00,0.4993,23,2024-08,0.4993
2024-08-16 00:00:00,1.8272,0,2024-08,1.8272
2024-08-16 01:00:00,1.3273,1,2024-08,1.3273
2024-08-16 02:00:00,1.5479,2,2024-08,1.5479
2024-08-16 03:00:00,1.4085,3,2024-08,1.4085
2024-08-16 04:00:00,1.7516,4,2024-08,1.7516
2024-08-16 05:00:00,1.994,5,2024-08,1.994
2024-08-16 06:00:00,2.4085,6,2024-08,2.4085
2024-08-16 07:00:00,2.6585,7,2024-08,2.6585
2024-08-16 08:00:00,2.5159,8,2024-08,2.5159
2024-08-16 09:00:00,2.7382,9,2024-08,2.7382
2024-08-16 10:00:00,2.3854,10,2024-08,2.3854
2024-08-16 11:00:00,1.5399,11,2024-08,1.5399
2024-08-16 12:00:00,1.7055,12,2024-08,8.5251
2024-08-16 13:00:00,1.699,13,2024-08,5.7133
2024-08-16 14:00:00,1.7916,14,2024-08,0.7711
2024-08-16 15:00:00,1.8185,15,2024-08,0.6156
2024-08-16 16:00:00,1.4282,16,2024-08,1.4282
2024-08-16 17:00:00,1.8016,17,2024-08,1.8016
2024-08-16 18:00:00,1.2687,18,2024-08,1.2687
2024-08-16 19:00:00,1.1,19,2024-08,1.1
2024-08-16 20:00:00,1.1511,20,2024-08,1.1511
2024-08-16 21:00:00,1.1622,21,2024-08,1.1622
2024-08-16 22:00:00,0.9953,22,2024-08,0.9953
2024-08-16 23:00:00,0.8904,23,2024-08,0.8904
2024-08-17 00:00:00,1.4297,0,2024-08,1.4297
2024-08-17 01:00:00,2.271,1,2024-08,2.271
2024-08-17 02:00:00,1.93877,2,2024-08,1.93877
2024-08-17 03:00:00,1.60653,3,2024-08,1.60653
2024-08-17 04:00:00,1.8092,4,2024-08,1.8092
2024-08-17 05:00:00,2.0775,5,2024-08,2.0775
2024-08-17 06:00:00,2.3981,6,2024-08,2.3981
2024-08-17 07:00:00,1.919,7,2024-08,1.919
2024-08-17 08:00:00,1.2341,8,2024-08,1.2341
2024-08-17 09:00:00,1.4264,9,2024-08,1.4264
2024-08-17 10:00:00,2.6037,10,2024-08,2.6037
2024-08-17 11:00:00,1.3516,11,2024-08,1.3516
2024-08-17 12:00:00,2.2123,12,2024-08,0.7399
2024-08-17 13:00:00,2.035899,13,2024-08,0.6578
2024-08-17 14:00:00,1.8833,14,2024-08,0.4659
2024-08-17 15:00:00,1.8492,15,2024-08,0.4596
2024-08-17 16:00:00,1.2743,16,2024-08,1.2743
2024-08-17 17:00:00,1.3685,17,2024-08,1.3685
2024-08-17 18:00:00,0.6968,18,2024-08,0.6968
2024-08-17 19:00:00,0.9538,19,2024-08,0.9538
2024-08-17 20:00:00,0.7113,20,2024-08,0.7113
2024-08-17 21:00:00,0.5868,21,2024-08,0.5868
2024-08-17 22:00:00,0.6015,22,2024-08,0.6015
2024-08-17 23:00:00,0.5999,23,2024-08,0.5999
2024-08-18 00:00:00,2.1895,0,2024-08,2.1895
2024-08-18 01:00:00,1.3324,1,2024-08,1.3324
2024-08-18 02:00:00,1.2269,2,2024-08,1.2269
2024-08-18 03:00:00,1.0953,3,2024-08,1.0953
2024-08-18 04:00:00,1.7237,4,2024-08,1.7237
2024-08-18 05:00:00,1.9948,5,2024-08,1.9948
2024-08-18 06:00:00,2.3466,6,2024-08,2.3466
2024-08-18 07:00:00,2.5,7,2024-08,2.5
2024-08-18 08:00:00,2.686,8,2024-08,2.686
2024-08-18 09:00:00,2.7395,9,2024-08,2.7395
2024-08-18 10:00:00,3.7333,10,2024-08,3.7333
2024-08-18 11:00:00,2.5398,11,2024-08,2.5398
2024-08-18 12:00:00,1.7672,12,2024-08,8.305099
2024-08-18 13:00:00,1.7093,13,2024-08,8.6085
2024-08-18 14:00:00,1.7048,14,2024-08,4.9416
2024-08-18 15:00:00,1.8128,15,2024-08,0.8736
2024-08-18 16:00:00,1.3408,16,2024-08,1.3408
2024-08-18 17:00:00,1.2297,17,2024-08,1.2297
2024-08-18 18:00:00,0.7555,18,2024-08,0.7555
2024-08-18 19:00:00,1.203,19,2024-08,1.203
2024-08-18 20:00:00,1.3284,20,2024-08,1.3284
2024-08-18 21:00:00,1.4198,21,2024-08,1.4198
2024-08-18 22:00:00,0.9994,22,2024-08,0.9994
2024-08-18 23:00:00,0.7512,23,2024-08,0.7512
2024-08-19 00:00:00,1.2469,0,2024-08,1.2469
2024-08-19 01:00:00,1.1925,1,2024-08,1.1925
2024-08-19 02:00:00,1.1697,2,2024-08,1.1697
2024-08-19 03:00:00,1.0407,3,2024-08,1.0407
2024-08-19 04:00:00,0.3287,4,2024-08,0.3287
2024-08-19 05:00:00,0.6685,5,2024-08,0.6685
2024-08-19 06:00:00,1.1911,6,2024-08,1.1911
