Timestamp,demand,season,period,period_type,solar_efficiency,month,hour,day,yyyymm,ymd
2024-08-08 00:00:00,1.1371,summer,summer off peak,off peak,1.0,8,0,8,2024-08,2024-08-08
2024-08-08 01:00:00,1.1878,summer,summer off peak,off peak,1.0,8,1,8,2024-08,2024-08-08
2024-08-08 02:00:00,1.2887,summer,summer off peak,off peak,1.0,8,2,8,2024-08,2024-08-08
2024-08-08 03:00:00,0.9563,summer,summer off peak,off peak,1.0,8,3,8,2024-08,2024-08-08
2024-08-08 04:00:00,0.3125,summer,summer off peak,off peak,1.0,8,4,8,2024-08,2024-08-08
2024-08-08 05:00:00,0.6951,summer,summer off peak,off peak,1.0,8,5,8,2024-08,2024-08-08
2024-08-08 06:00:00,1.0565,summer,summer off peak,off peak,1.0,8,6,8,2024-08,2024-08-08
2024-08-08 07:00:00,1.1297,summer,summer off peak,off peak,1.0,8,7,8,2024-08,2024-08-08
2024-08-08 08:00:00,1.0777,summer,summer off peak,off peak,1.0,8,8,8,2024-08,2024-08-08
2024-08-08 09:00:00,1.0381,summer,summer off peak,off peak,1.0,8,9,8,2024-08,2024-08-08
2024-08-08 10:00:00,2.0469,summer,summer off peak,off peak,1.0,8,10,8,2024-08,2024-08-08
2024-08-08 11:00:00,1.0236,summer,summer off peak,off peak,1.0,8,11,8,2024-08,2024-08-08
2024-08-08 12:00:00,8.4297,summer,summer off peak,off peak,1.0,8,12,8,2024-08,2024-08-08
2024-08-08 13:00:00,10.4654,summer,summer off peak,off peak,1.0,8,13,8,2024-08,2024-08-08
2024-08-08 14:00:00,10.7497,summer,summer off peak,off peak,1.0,8,14,8,2024-08,2024-08-08
2024-08-08 15:00:00,3.3458,summer,summer part peak,part peak,1.0,8,15,8,2024-08,2024-08-08
2024-08-08 16:00:00,0.9518,summer,summer peak,peak,1.0,8,16,8,2024-08,2024-08-08
2024-08-08 17:00:00,0.9094,summer,summer peak,peak,1.0,8,17,8,2024-08,2024-08-08
2024-08-08 18:00:00,0.4589,summer,summer peak,peak,1.0,8,18,8,2024-08,2024-08-08
2024-08-08 19:00:00,0.4605,summer,summer peak,peak,1.0,8,19,8,2024-08,2024-08-08
2024-08-08 20:00:00,0.4906,summer,summer peak,peak,1.0,8,20,8,2024-08,2024-08-08
2024-08-08 21:00:00,0.3469,summer,summer part peak,part peak,1.0,8,21,8,2024-08,2024-08-08
2024-08-08 22:00:00,0.2943,summer,summer part peak,part peak,1.0,8,22,8,2024-08,2024-08-08
2024-08-08 23:00:00,0.4034,summer,summer part peak,part peak,1.0,8,23,8,2024-08,2024-08-08
2024-08-09 00:00:00,1.161,summer,summer off peak,off peak,1.0,8,0,9,2024-08,2024-08-09
2024-08-09 01:00:00,1.125,summer,summer off peak,off peak,1.0,8,1,9,2024-08,2024-08-09
2024-08-09 02:00:00,1.1373,summer,summer off peak,off peak,1.0,8,2,9,2024-08,2024-08-09
2024-08-09 03:00:00,0.8886,summer,summer off peak,off peak,1.0,8,3,9,2024-08,2024-08-09
2024-08-09 04:00:00,0.3144,summer,summer off peak,off peak,1.0,8,4,9,2024-08,2024-08-09
2024-08-09 05:00:00,0.6827,summer,summer off peak,off peak,1.0,8,5,9,2024-08,2024-08-09
2024-08-09 06:00:00,1.117,summer,summer off peak,off peak,1.0,8,6,9,2024-08,2024-08-09
2024-08-09 07:00:00,1.0618,summer,summer off peak,off peak,1.0,8,7,9,2024-08,2024-08-09
2024-08-09 08:00:00,1.034899,summer,summer off peak,off peak,1.0,8,8,9,2024-08,2024-08-09
2024-08-09 09:00:00,1.0575,summer,summer off peak,off peak,1.0,8,9,9,2024-08,2024-08-09
2024-08-09 10:00:00,1.9721,summer,summer off peak,off peak,1.0,8,10,9,2024-08,2024-08-09
2024-08-09 11:00:00,1.1364,summer,summer off peak,off peak,1.0,8,11,9,2024-08,2024-08-09
2024-08-09 12:00:00,8.5884,summer,summer off peak,off peak,1.0,8,12,9,2024-08,2024-08-09
2024-08-09 13:00:00,7.0937,summer,summer off peak,off peak,1.0,8,13,9,2024-08,2024-08-09
2024-08-09 14:00:00,0.6072,summer,summer off peak,off peak,1.0,8,14,9,2024-08,2024-08-09
2024-08-09 15:00:00,0.3396,summer,summer part peak,part peak,1.0,8,15,9,2024-08,2024-08-09
2024-08-09 16:00:00,0.9253,summer,summer peak,peak,1.0,8,16,9,2024-08,2024-08-09
2024-08-09 17:00:00,0.9795,summer,summer peak,peak,1.0,8,17,9,2024-08,2024-08-09
2024-08-09 18:00:00,0.4638,summer,summer peak,peak,1.0,8,18,9,2024-08,2024-08-09
2024-08-09 19:00:00,0.4987,summer,summer peak,peak,1.0,8,19,9,2024-08,2024-08-09
2024-08-09 20:00:00,0.3736,summer,summer peak,peak,1.0,8,20,9,2024-08,2024-08-09
2024-08-09 21:00:00,0.3811,summer,summer part peak,part peak,1.0,8,21,9,2024-08,2024-08-09
2024-08-09 22:00:00,0.2945,summer,summer part peak,part peak,1.0,8,22,9,2024-08,2024-08-09
2024-08-09 23:00:00,0.4066,summer,summer part peak,part peak,1.0,8,23,9,2024-08,2024-08-09
2024-08-10 00:00:00,1.1773,summer,summer off peak,off peak,1.0,8,0,10,2024-08,2024-08-10
2024-08-10 01:00:00,1.1448,summer,summer off peak,off peak,1.0,8,1,10,2024-08,2024-08-10
2024-08-10 02:00:00,1.067,summer,summer off peak,off peak,1.0,8,2,10,2024-08,2024-08-10
2024-08-10 03:00:00,0.9696,summer,summer off peak,off peak,1.0,8,3,10,2024-08,2024-08-10
2024-08-10 04:00:00,0.3387,summer,summer off peak,off peak,1.0,8,4,10,2024-08,2024-08-10
2024-08-10 05:00:00,0.7572,summer,summer off peak,off peak,1.0,8,5,10,2024-08,2024-08-10
2024-08-10 06:00:00,1.0664,summer,summer off peak,off peak,1.0,8,6,10,2024-08,2024-08-10
2024-08-10 07:00:00,1.1389,summer,summer off peak,off peak,1.0,8,7,10,2024-08,2024-08-10
2024-08-10 08:00:00,0.9871,summer,summer off peak,off peak,1.0,8,8,10,2024-08,2024-08-10
2024-08-10 09:00:00,1.0423,summer,summer off peak,off peak,1.0,8,9,10,2024-08,2024-08-10
2024-08-10 10:00:00,2.0451,summer,summer off peak,off peak,1.0,8,10,10,2024-08,2024-08-10
2024-08-10 11:00:00,1.078,summer,summer off peak,off peak,1.0,8,11,10,2024-08,2024-08-10
2024-08-10 12:00:00,1.0939,summer,summer off peak,off peak,1.0,8,12,10,2024-08,2024-08-10
2024-08-10 13:00:00,0.9936,summer,summer off peak,off peak,1.0,8,13,10,2024-08,2024-08-10
2024-08-10 14:00:00,0.3783,summer,summer off peak,off peak,1.0,8,14,10,2024-08,2024-08-10
2024-08-10 15:00:00,0.3833,summer,summer part peak,part peak,1.0,8,15,10,2024-08,2024-08-10
2024-08-10 16:00:00,0.9751,summer,summer peak,peak,1.0,8,16,10,2024-08,2024-08-10
2024-08-10 17:00:00,0.9959,summer,summer peak,peak,1.0,8,17,10,2024-08,2024-08-10
2024-08-10 18:00:00,0.4873,summer,summer peak,peak,1.0,8,18,10,2024-08,2024-08-10
2024-08-10 19:00:00,0.4003,summer,summer peak,peak,1.0,8,19,10,2024-08,2024-08-10
2024-08-10 20:00:00,0.4085,summer,summer peak,peak,1.0,8,20,10,2024-08,2024-08-10
2024-08-10 21:00:00,0.323,summer,summer part peak,part peak,1.0,8,21,10,2024-08,2024-08-10
2024-08-10 22:00:00,0.4613,summer,summer part peak,part peak,1.0,8,22,10,2024-08,2024-08-10
2024-08-10 23:00:00,0.3712,summer,summer part peak,part peak,1.0,8,23,10,2024-08,2024-08-10
2024-08-11 00:00:00,1.0428,summer,summer off peak,off peak,1.0,8,0,11,2024-08,2024-08-11
2024-08-11 01:00:00,1.0495,summer,summer off peak,off peak,1.0,8,1,11,2024-08,2024-08-11
2024-08-11 02:00:00,1.0588,summer,summer off peak,off peak,1.0,8,2,11,2024-08,2024-08-11
2024-08-11 03:00:00,0.9481,summer,summer off peak,off peak,1.0,8,3,11,2024-08,2024-08-11
2024-08-11 04:00:00,0.3702,summer,summer off peak,off peak,1.0,8,4,11,2024-08,2024-08-11
2024-08-11 05:00:00,0.8048,summer,summer off peak,off peak,1.0,8,5,11,2024-08,2024-08-11
2024-08-11 06:00:00,1.031199,summer,summer off peak,off peak,1.0,8,6,11,2024-08,2024-08-11
2024-08-11 07:00:00,1.0002,summer,summer off peak,off peak,1.0,8,7,11,2024-08,2024-08-11
2024-08-11 08:00:00,1.042899,summer,summer off peak,off peak,1.0,8,8,11,2024-08,2024-08-11
